Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.923740,2.978530,2.921750,2.978530,1.687183,2018270
2010-01-05,2.888880,3.066200,2.888880,3.033320,1.718219,13759059
2010-01-06,3.058230,3.085120,3.038300,3.059220,1.732890,3242850
2010-01-07,3.058230,3.076160,3.021370,3.050260,1.727815,5972715
2010-01-08,3.077150,3.077150,3.011410,3.033320,1.718219,5735464
2010-01-11,3.060220,3.067190,3.018380,3.042290,1.723300,5153450
2010-01-12,3.033320,3.061210,2.994470,3.029340,1.715965,4149594
2010-01-13,3.023360,3.057230,3.002440,3.057230,1.731763,4241518
2010-01-14,3.067190,3.078150,3.028340,3.078150,1.743613,4790367
2010-01-15,3.088110,3.105050,3.012400,3.029340,1.715965,5074512
2010-01-18,3.029340,3.042290,3.009410,3.020370,1.710884,1577283
2010-01-19,3.012400,3.058230,2.973550,3.051250,1.728375,4169974
2010-01-20,3.052250,3.073170,2.968570,2.993480,1.695652,3895813
2010-01-21,2.995470,3.016390,2.900830,2.912790,1.649945,5552246
2010-01-22,2.897840,2.919760,2.839070,2.919760,1.653893,5368851
2010-01-25,2.919760,2.938690,2.863970,2.902820,1.644298,2955372
2010-01-26,2.876920,2.913780,2.859990,2.908800,1.647685,2496306
2010-01-27,2.882900,2.898840,2.840070,2.855010,1.617216,3868676
2010-01-28,2.867960,2.915770,2.781290,2.782290,1.576023,5585282
2010-01-29,2.782290,2.849030,2.749410,2.849030,1.613828,5596870
2010-02-01,2.803210,2.896850,2.794240,2.890870,1.637529,4136295
2010-02-02,2.906810,2.955620,2.869950,2.955620,1.674206,6915114
2010-02-03,2.976540,2.982520,2.784280,2.823130,1.599157,12720576
2010-02-04,2.828110,2.828110,2.639840,2.639840,1.495333,11139814
2010-02-05,2.612940,2.629870,2.546200,2.576080,1.459216,12952697
2010-02-08,2.575090,2.638840,2.521290,2.576080,1.459216,8327372
2010-02-09,2.568110,2.616920,2.549190,2.584050,1.463731,8036988
2010-02-10,2.609950,2.682670,2.609950,2.682670,1.519594,6955462
2010-02-11,2.689640,2.689640,2.590030,2.621910,1.485176,7830354
2010-02-12,2.619910,2.639840,2.556160,2.598990,1.472194,5587547
2010-02-15,2.613940,2.624890,2.562140,2.583060,1.463170,3478903
2010-02-16,2.610950,2.629870,2.580070,2.593020,1.468812,5618200
2010-02-17,2.629870,2.665740,2.609950,2.665740,1.510004,4980705
2010-02-18,2.659760,2.687650,2.633860,2.664740,1.509437,5164606
2010-02-19,2.642830,2.688650,2.619910,2.682670,1.519594,6272668
2010-02-22,2.700600,2.711560,2.670720,2.688650,1.522981,5636679
2010-02-23,2.693630,2.718530,2.634860,2.645810,1.498714,5822682
2010-02-24,2.638840,2.654780,2.602980,2.619910,1.484044,4230444
2010-02-25,2.615930,2.639840,2.560140,2.572100,1.456962,9053792
2010-02-26,2.594010,2.638840,2.572100,2.634860,1.492512,14365461
2010-03-01,2.689640,2.689640,2.624890,2.654780,1.503796,6293468
2010-03-02,2.667730,2.667730,2.588040,2.607960,1.477275,14356863
2010-03-03,2.616920,2.657770,2.595010,2.649800,1.500975,11978820
2010-03-04,2.646810,2.773320,2.626890,2.749410,1.557399,13842469
2010-03-05,2.749410,2.834090,2.745430,2.829110,1.602544,9104601
2010-03-08,2.879910,2.923740,2.781290,2.784280,1.577151,7007532
2010-03-09,2.783280,2.783280,2.690640,2.701600,1.530317,6963363
2010-03-10,2.698610,2.749410,2.660760,2.745430,1.555144,6245937
2010-03-11,2.740450,2.769340,2.726500,2.755390,1.560786,6386820
2010-03-12,2.762360,2.805200,2.761370,2.785280,1.577717,7318558
2010-03-15,2.758380,2.779300,2.710560,2.710560,1.535392,5654760
2010-03-16,2.717540,2.753400,2.717540,2.743440,1.554017,4302719
2010-03-17,2.759380,2.764360,2.724510,2.739450,1.551757,6090595
2010-03-18,2.719530,2.739450,2.699610,2.715550,1.538219,5423372
2010-03-19,2.715550,2.735470,2.696620,2.718530,1.539907,5949155
2010-03-22,2.708570,2.708570,2.621910,2.657770,1.505489,7260355
2010-03-23,2.657770,2.692630,2.650790,2.680680,1.518467,4124801
2010-03-24,2.691640,2.699610,2.640830,2.679680,1.517900,3947113
2010-03-25,2.689640,2.724510,2.651790,2.714550,1.537652,2955935
2010-03-26,2.716540,2.754400,2.691640,2.753400,1.559659,5064065
2010-03-29,2.754400,2.786270,2.741450,2.760370,1.563607,2488003
2010-03-30,2.758380,2.780300,2.705580,2.705580,1.532571,7928736
2010-03-31,2.712560,2.733480,2.685660,2.705580,1.532571,10193350
2010-04-01,2.709570,2.747420,2.704590,2.747420,1.556272,1607209
2010-04-06,2.747420,2.776310,2.739450,2.749410,1.557399,3395253
2010-04-07,2.763360,2.788270,2.721520,2.740450,1.552323,5952383
2010-04-08,2.729490,2.731480,2.671710,2.695620,1.526929,5064046
2010-04-09,2.728500,2.769340,2.712560,2.758380,1.562480,5703280
2010-04-12,2.777310,2.789260,2.746430,2.758380,1.562480,3552006
2010-04-13,2.755390,2.787270,2.740450,2.786270,1.578278,5139600
2010-04-14,2.789260,2.841060,2.780300,2.841060,1.609313,5744806
2010-04-15,2.858990,2.858990,2.780300,2.812170,1.592949,6970601
2010-04-16,2.789260,2.819150,2.728500,2.743440,1.554017,7380217
2010-04-19,2.728500,2.750410,2.699610,2.704590,1.532011,5224366
2010-04-20,2.737460,2.744430,2.699610,2.739450,1.551757,5733320
2010-04-21,2.738460,2.743440,2.685660,2.696620,1.527496,5167095
2010-04-22,2.680680,2.719530,2.631870,2.653780,1.503229,7991892
2010-04-23,2.659760,2.679680,2.624890,2.626890,1.487997,7939172
2010-04-26,2.663740,2.670720,2.614930,2.625890,1.487431,4677952
2010-04-27,2.614930,2.625890,2.494400,2.494400,1.412949,6415046
2010-04-28,2.490410,2.507350,2.324050,2.324050,1.316454,16874157
2010-04-29,2.386810,2.430640,2.332020,2.393780,1.355953,18931594
2010-04-30,2.393780,2.490410,2.372860,2.459530,1.393197,15616811
2010-05-03,2.460530,2.510340,2.390800,2.399760,1.359340,6134141
2010-05-04,2.390800,2.423670,2.271260,2.277230,1.289933,10775917
2010-05-05,2.277230,2.350950,2.211490,2.279220,1.291060,14007512
2010-05-06,2.242370,2.316080,2.191560,2.214470,1.254383,9379329
2010-05-07,2.214470,2.286200,2.108880,2.159690,1.223353,10484117
2010-05-10,2.374860,2.547190,2.346960,2.529260,1.432695,19439374
2010-05-11,2.472480,2.520300,2.362900,2.429650,1.376271,11934004
2010-05-12,2.429650,2.510340,2.404740,2.481450,1.405614,8182290
2010-05-13,2.515320,2.515320,2.425660,2.465510,1.396584,3631559
2010-05-14,2.431640,2.431640,2.291180,2.311100,1.309119,7319114
2010-05-17,2.251330,2.301140,2.201520,2.215470,1.254949,11165204
2010-05-18,2.258310,2.329030,2.222440,2.306120,1.306298,10711487
2010-05-19,2.258310,2.269260,2.192560,2.217460,1.256077,8361542
2010-05-20,2.259300,2.271260,2.143750,2.202520,1.247614,6148486
2010-05-21,2.205510,2.260300,2.173630,2.251330,1.275262,11808181
2010-05-24,2.251330,2.261290,2.151720,2.195550,1.243666,5285921
2010-05-25,2.141750,2.147730,2.091950,2.147730,1.216578,6915673
2010-05-26,2.181600,2.219460,2.180600,2.180600,1.235197,11714289
2010-05-27,2.227420,2.296160,2.169650,2.279220,1.291060,6746085
2010-05-28,2.310110,2.311100,2.241370,2.258310,1.279216,5382244
2010-05-31,2.222440,2.286200,2.221450,2.280220,1.291627,4406644
2010-06-01,2.268000,2.270000,2.165000,2.255000,1.277341,5863845
2010-06-02,2.230000,2.250000,2.184000,2.240000,1.268844,6505944
2010-06-03,2.300000,2.300000,2.240000,2.248000,1.273376,3488524
2010-06-04,2.262000,2.262000,2.101000,2.131000,1.207101,31253036
2010-06-07,2.130000,2.188000,2.055000,2.155000,1.220696,8194753
2010-06-08,2.165000,2.179000,2.106000,2.160000,1.223528,7929563
2010-06-09,2.160000,2.186000,2.120000,2.160000,1.223528,9572289
2010-06-10,2.155000,2.300000,2.138000,2.299000,1.302264,8547267
2010-06-11,2.299000,2.399000,2.288000,2.370000,1.342482,65746882
2010-06-14,2.411000,2.411000,2.357000,2.400000,1.359476,19434747
2010-06-15,2.392000,2.416000,2.351000,2.398000,1.358343,18671241
2010-06-16,2.355000,2.360000,2.270000,2.314000,1.355999,13560460
2010-06-17,2.302000,2.330000,2.280000,2.288000,1.340763,9722379
2010-06-18,2.296000,2.314000,2.254000,2.295000,1.344865,68156829
2010-06-21,2.308000,2.360000,2.308000,2.348000,1.375923,11456859
2010-06-22,2.360000,2.399000,2.341000,2.376000,1.392331,7941350
2010-06-23,2.351000,2.375000,2.312000,2.316000,1.357171,3351856
2010-06-24,2.326000,2.331000,2.266000,2.293000,1.343693,5396382
2010-06-25,2.286000,2.328000,2.253000,2.295000,1.344865,4470900
2010-06-28,2.295000,2.357000,2.281000,2.354000,1.379439,11560511
2010-06-29,2.311000,2.329000,2.200000,2.245000,1.315565,4510974
