Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.207300,11.391400,11.207300,11.391400,5.892246,48489482
2010-01-05,11.401000,11.575400,11.401000,11.517300,5.957368,57994625
2010-01-06,11.517300,11.614200,11.464000,11.599600,5.999937,30451424
2010-01-07,11.594800,11.594800,11.435000,11.546300,5.972369,64545421
2010-01-08,11.614200,11.628700,11.459200,11.585100,5.992439,44579736
2010-01-11,11.604500,11.754600,11.604500,11.604500,6.002471,46360376
2010-01-12,11.604500,11.682000,11.386500,11.386500,5.889712,145804796
2010-01-13,11.386500,11.405900,11.212200,11.299300,5.844609,70916665
2010-01-14,11.299300,11.415600,11.202500,11.362300,5.877193,97147781
2010-01-15,11.401000,11.497900,11.139500,11.139500,5.761949,67805222
2010-01-18,11.139500,11.226700,11.081400,11.183100,5.784502,129620831
2010-01-19,11.183100,11.430100,11.047500,11.396200,5.894729,228169517
2010-01-20,11.396200,11.430100,10.926400,11.013600,5.696828,213773418
2010-01-21,11.013600,11.086200,10.432400,10.548600,5.456304,323469437
2010-01-22,10.519600,10.519600,10.180500,10.509900,5.436285,253448168
2010-01-25,10.509900,10.558300,10.364600,10.364600,5.361131,251918177
2010-01-26,10.364600,10.432400,10.107900,10.427600,5.393717,284960264
2010-01-27,10.258000,10.258000,9.846360,9.899640,5.120628,126669237
2010-01-28,9.899640,10.229000,9.715600,9.715600,5.025433,214915672
2010-01-29,9.754340,10.112700,9.754340,9.977130,5.160709,226164457
2010-02-01,9.860890,10.103100,9.788240,10.049800,5.263152,108334542
2010-02-02,10.049800,10.345200,10.035200,10.287100,5.387427,346434791
2010-02-03,10.287100,10.393700,9.846360,9.889950,5.179437,268923588
2010-02-04,9.889950,10.011000,8.931950,8.960050,4.692442,380700846
2010-02-05,8.960050,9.192520,8.422440,8.945520,4.684832,398677172
2010-02-08,8.945520,9.173150,8.717880,9.118900,4.775632,216839629
2010-02-09,9.118900,9.420160,8.969730,9.323290,4.882673,251604933
2010-02-10,9.493770,9.754340,9.493770,9.669100,5.063776,197639832
2010-02-11,9.669100,9.793090,9.231270,9.401750,4.923763,88256924
2010-02-12,9.401750,9.565450,9.163460,9.253550,4.846148,68726002
2010-02-15,9.253550,9.473430,9.231270,9.345570,4.894341,90481857
2010-02-16,9.345570,9.517020,9.250640,9.458900,4.953694,132547556
2010-02-17,9.495710,9.650700,9.495710,9.599360,5.027252,87186060
2010-02-18,9.599360,9.696220,9.478280,9.676850,5.067836,116989578
2010-02-19,9.676850,9.778560,9.416280,9.773710,5.118561,69692556
2010-02-22,9.773710,9.851210,9.541240,9.580950,5.017611,58363736
2010-02-23,9.580950,9.656510,9.109220,9.187680,4.811654,63151464
2010-02-24,9.172180,9.172180,8.796340,9.056910,4.743167,76682829
2010-02-25,9.056910,9.147960,8.864150,8.949390,4.686859,68741509
2010-02-26,8.959080,9.250640,8.959080,9.249670,4.844119,60020740
2010-03-01,9.249670,9.471490,9.115030,9.355260,4.899416,39722693
2010-03-02,9.355260,9.424030,9.174120,9.395940,4.920720,46884408
2010-03-03,9.395940,9.647790,9.231270,9.624540,5.040441,59239365
2010-03-04,9.624540,9.831830,9.525740,9.730130,5.095737,83682556
2010-03-05,9.730130,10.093400,9.715600,10.069100,5.273260,64315415
2010-03-08,10.069100,10.166000,10.069100,10.103100,5.291065,45336567
2010-03-09,10.103100,10.137000,9.885110,10.006200,5.240317,50513453
2010-03-10,10.006200,10.151500,9.952920,10.151500,5.316412,45059342
2010-03-11,10.122400,10.122400,9.933540,10.006200,5.240317,39338502
2010-03-12,10.006200,10.166000,9.996500,10.040100,5.258070,34498016
2010-03-15,10.025600,10.025600,9.860890,9.889950,5.179437,46906842
2010-03-16,9.889950,10.006200,9.793090,9.981970,5.227629,42528721
2010-03-17,10.020700,10.098200,9.943230,10.064300,5.270745,61706569
2010-03-18,10.035200,10.035200,9.822150,9.889950,5.179437,55649188
2010-03-19,9.889950,9.981970,9.701070,9.715600,5.088129,137169177
2010-03-22,9.705910,9.705910,9.347510,9.549960,5.001383,85152235
2010-03-23,9.590640,9.768870,9.570300,9.725280,5.093199,44434523
2010-03-24,9.725280,9.788240,9.326200,9.483120,4.966378,88225489
2010-03-25,9.483120,9.744650,9.377540,9.744650,5.103343,82304443
2010-03-26,9.744650,9.822150,9.631320,9.744650,5.103343,45784454
2010-03-29,9.744650,9.875420,9.662320,9.764030,5.113492,68090763
2010-03-30,9.831830,9.860890,9.596450,9.648760,5.053124,35897486
2010-03-31,9.648760,9.696220,9.379470,9.531550,4.991740,40948755
2010-04-01,9.531550,9.773710,9.517020,9.773710,5.118561,29404485
2010-04-06,9.744650,9.919010,9.621640,9.846360,5.156609,67208912
2010-04-07,9.846360,9.948070,9.754340,9.880270,5.174367,43497047
2010-04-08,9.836680,9.836680,9.606140,9.749500,5.105882,46258945
2010-04-09,9.768870,10.175700,9.768870,10.146700,5.313899,65572240
2010-04-12,10.267700,10.451800,10.267700,10.354900,5.422934,81811738
2010-04-13,10.354900,10.476000,10.306500,10.359700,5.425449,122100538
2010-04-14,10.359700,10.480800,10.330700,10.403300,5.448281,42231764
2010-04-15,10.403300,10.471200,10.224100,10.451800,5.473682,96145986
2010-04-16,10.451800,10.534100,10.049800,10.161200,5.321493,149013665
2010-04-19,10.161200,10.190200,9.967450,10.078800,5.278339,158804860
2010-04-20,10.078800,10.248400,9.977130,10.199900,5.341759,188857764
2010-04-21,10.199900,10.243500,9.865740,9.909330,5.189587,148566821
2010-04-22,9.909330,9.943230,9.522830,9.600330,5.027761,221082224
2010-04-23,9.600330,9.889950,9.492800,9.647790,5.052616,218260930
2010-04-26,9.647790,9.904480,9.550920,9.725280,5.093199,260551562
2010-04-27,9.645850,9.645850,9.163460,9.199300,4.817738,166561129
2010-04-28,9.199300,9.297140,8.679140,8.814750,4.616346,271344975
2010-04-29,8.824430,9.307790,8.824430,9.164430,4.799476,275081892
2010-04-30,9.164430,9.530580,9.106310,9.250640,4.844625,189585263
2010-05-03,9.023010,9.023010,8.796340,8.975540,4.816041,158553990
2010-05-04,8.951330,8.951330,8.277140,8.340110,4.475086,335602634
2010-05-05,8.340110,8.417600,7.880970,8.131850,4.363338,302803957
2010-05-06,8.131850,8.441820,7.596180,7.758920,4.163233,476437686
2010-05-07,7.758920,8.039820,7.308490,7.468320,4.007306,292979928
2010-05-10,8.621020,9.202210,8.621020,9.202210,4.937666,347478252
2010-05-11,8.927110,9.105340,8.509620,8.896110,4.773420,157433796
2010-05-12,8.896110,9.231270,8.601640,8.930990,4.792136,90352822
2010-05-13,8.930990,9.201240,8.688820,8.854460,4.751072,106630396
2010-05-14,8.717880,8.717880,7.884840,8.059200,4.324357,147608603
2010-05-17,8.059200,8.273270,7.827690,7.983640,4.283813,94447369
2010-05-18,8.154130,8.490250,8.154130,8.472810,4.546288,99095333
2010-05-19,8.383700,8.383700,8.015610,8.252930,4.428306,107160334
2010-05-20,8.252930,8.504780,7.826720,8.165750,4.381528,96081241
2010-05-21,8.165750,8.401130,7.847060,8.335260,4.472484,154887715
2010-05-24,8.335260,8.490250,8.078570,8.239370,4.421031,74731687
2010-05-25,7.968140,7.968140,7.663020,7.915840,4.247433,114733064
2010-05-26,7.915840,8.162840,7.866440,7.866440,4.220926,113496104
2010-05-27,7.866440,8.112470,7.613620,7.955550,4.268741,145515485
2010-05-28,8.031110,8.200620,8.031110,8.136690,4.365935,110894326
2010-05-31,8.107630,8.107630,8.001080,8.064040,4.326953,31572621
2010-06-01,8.034980,8.034980,7.710480,7.944900,4.263027,70210571
